Waffe, Anzahl, Stückverkauf, Magazin, Magazinverkauf, Anteil an Toden, Anteil an Schaden
Schlagring, 2, 100$, 0, 0$, 0, 0.1
Schutzweste, 323, 48.450$, 0, 0$, 0.8, 15.9
Schlagring, 3, 150$, 0, 0$, 0, 0.1
Schrotflinte, 37, 33.300$, 864, 1.728$, 0.2, 0.7
Desert Eagle, 303, 348.450$, 8975, 62.825$, 59.4, 46.4
MP5, 71, 71.000$, 1986, 79.440$, 1.8, 4
M4, 106, 265.000$, 4250, 255.000$, 5.9, 18.2
AK-47, 14, 25.900$, 263, 7.890$, 0.5, 0.9
Jagd-Gewehr, 51, 63.750$, 4631, 18.524$, 0.2, 2.3
9mm Pistole, 13, 5.850$, 894, 13.410$, 0.1, 1.4
