Art, Tode, Anteil an Toden, Schaden, Antel an Schaden
Schlagring, 0, 0, 9, 0.1
Schlagstock, 0, 0, 21, 0.3
Baseball-Schläger, 0, 0, 13, 0.1
Schaufel, 0, 0, 27, 0.4
Katana, 0, 0, 3, 0
Faust, 16, 0.8, 1073, 15.9
AK-47, 10, 0.5, 65, 0.9
M4, 112, 5.9, 1227, 18.2
TEC-9, 1, 0, 11, 0.1
Jagd-Gewehr, 4, 0.2, 159, 2.3
Sniper, 403, 21.5, 313, 4.6
Verbannt, 0, 0, 11, 0.1
9mm Pistole, 2, 0.1, 96, 1.4
Desert Eagle, 1112, 59.4, 3131, 46.4
Schrotflinte, 5, 0.2, 51, 0.7
Explosion, 2, 0.1, 6, 0
Ertrunken, 4, 0.2, 7, 0.1
Blumen, 0, 0, 10, 0.1
Uzi, 0, 0, 6, 0
Abgesägte Schrot, 1, 0, 2, 0
MP5, 35, 1.8, 272, 4
Rakete, 154, 8.2, 222, 3.2
